"id","countyfips","placefips","municipalityname","year","totalpopulation","countyplace"
1,0,0,"Colorado",1980,2889735,"0"
2,0,0,"Colorado",1981,2980340,"0"
3,0,0,"Colorado",1982,3064868,"0"
4,0,0,"Colorado",1983,3137511,"0"
5,0,0,"Colorado",1984,3174844,"0"
6,0,0,"Colorado",1985,3214448,"0"
7,0,0,"Colorado",1986,3243803,"0"
8,0,0,"Colorado",1987,3263354,"0"
9,0,0,"Colorado",1988,3271448,"0"
10,0,0,"Colorado",1989,3284537,"0"
11,0,0,"Colorado",1990,3294473,"0"
12,0,0,"Colorado",1991,3380951,"0"
13,0,0,"Colorado",1992,3489832,"0"
14,0,0,"Colorado",1993,3605038,"0"
15,0,0,"Colorado",1994,3712062,"0"
16,0,0,"Colorado",1995,3811074,"0"
17,0,0,"Colorado",1996,3902448,"0"
18,0,0,"Colorado",1997,3995923,"0"
19,0,0,"Colorado",1998,4102491,"0"
20,0,0,"Colorado",1999,4215984,"0"
21,0,0,"Colorado",2000,4338801,"0"
22,0,0,"Colorado",2001,4444513,"0"
23,0,0,"Colorado",2002,4504709,"0"
24,0,0,"Colorado",2003,4555084,"0"
25,0,0,"Colorado",2004,4608811,"0"
26,0,0,"Colorado",2005,4662534,"0"
27,0,0,"Colorado",2006,4745660,"0"
28,0,0,"Colorado",2007,4821784,"0"
29,0,0,"Colorado",2008,4901938,"0"
30,0,0,"Colorado",2009,4976853,"0"
31,0,0,"Colorad",2010,5050332,"0"
32,0,0,"Colorad",2011,5119538,"0"
33,0,0,"Colorad",2012,5191086,"0"
34,0,0,"Colorad",2013,5268413,"0"
35,0,0,"Colorad",2014,5350118,"0"
36,0,0,"Colorad",2015,5448055,"0"
37,0,0,"COLORADO STATE",2016,5538180,"0"
38,1,0,"Adams",1980,245944,"100000"
39,1,0,"Adams",1981,253031,"100000"
40,1,0,"Adams",1982,260136,"100000"
41,1,0,"Adams",1983,267244,"100000"
42,1,0,"Adams",1984,265770,"100000"
43,1,0,"Adams",1985,268764,"100000"
44,1,0,"Adams",1986,268643,"100000"
45,1,0,"Adams",1987,269323,"100000"
46,1,0,"Adams",1988,269019,"100000"
47,1,0,"Adams",1989,266771,"100000"
48,1,0,"Adams",1990,265038,"100000"
